line_id,stratum,source_page,pool_line_id,skew_deg,height_px,inverted,device,dpi,notes
newsprint_057_l007,newsprint,newsprint_057.png,newsprint_057_l007,0.00,19,0,,,
newsprint_045_l005,newsprint,newsprint_045.png,newsprint_045_l005,-0.48,40,0,,,
newsprint_043_l002,newsprint,newsprint_043.png,newsprint_043_l002,1.28,25,0,,,
newsprint_051_l005,newsprint,newsprint_051.png,newsprint_051_l005,0.77,20,0,,,
newsprint_025_l012,newsprint,newsprint_025.png,newsprint_025_l012,-0.34,12,0,,,
newsprint_032_l008,newsprint,newsprint_032.png,newsprint_032_l008,0.00,8,0,,,
newsprint_069_l008,newsprint,newsprint_069.png,newsprint_069_l008,0.00,17,0,,,
newsprint_012_l006,newsprint,newsprint_012.png,newsprint_012_l006,0.00,20,0,,,
newsprint_067_l002,newsprint,newsprint_067.png,newsprint_067_l002,-0.21,18,0,,,
newsprint_042_l001,newsprint,newsprint_042.png,newsprint_042_l001,0.00,36,0,,,
newsprint_076_l018,newsprint,newsprint_076.png,newsprint_076_l018,1.28,24,0,,,
newsprint_009_l019,newsprint,newsprint_009.png,newsprint_009_l019,-0.59,26,0,,,
newsprint_038_l008,newsprint,newsprint_038.png,newsprint_038_l008,0.30,15,0,,,
newsprint_030_l004,newsprint,newsprint_030.png,newsprint_030_l004,0.00,14,0,,,
newsprint_002_l009,newsprint,newsprint_002.png,newsprint_002_l009,0.00,37,0,,,
newsprint_015_l003,newsprint,newsprint_015.png,newsprint_015_l003,0.00,17,0,,,
newsprint_053_l001,newsprint,newsprint_053.png,newsprint_053_l001,0.27,19,0,,,
newsprint_060_l001,newsprint,newsprint_060.png,newsprint_060_l001,-0.52,20,0,,,
newsprint_064_l003,newsprint,newsprint_064.png,newsprint_064_l003,0.00,15,0,,,
newsprint_019_l008,newsprint,newsprint_019.png,newsprint_019_l008,0.00,15,0,,,
newsprint_048_l003,newsprint,newsprint_048.png,newsprint_048_l003,-2.02,37,0,,,
newsprint_003_l013,newsprint,newsprint_003.png,newsprint_003_l013,-1.03,34,0,,,
newsprint_079_l001,newsprint,newsprint_079.png,newsprint_079_l001,0.00,15,0,,,
newsprint_075_l020,newsprint,newsprint_075.png,newsprint_075_l020,0.20,21,0,,,
newsprint_024_l004,newsprint,newsprint_024.png,newsprint_024_l004,2.45,16,0,,,
newsprint_008_l007,newsprint,newsprint_008.png,newsprint_008_l007,0.00,19,0,,,
newsprint_011_l009,newsprint,newsprint_011.png,newsprint_011_l009,0.00,15,0,,,
newsprint_061_l007,newsprint,newsprint_061.png,newsprint_061_l007,-0.17,17,0,,,
newsprint_027_l006,newsprint,newsprint_027.png,newsprint_027_l006,1.83,15,0,,,
newsprint_016_l006,newsprint,newsprint_016.png,newsprint_016_l006,-0.25,17,0,,,
newsprint_056_l002,newsprint,newsprint_056.png,newsprint_056_l002,-0.76,23,0,,,
newsprint_072_l008,newsprint,newsprint_072.png,newsprint_072_l008,0.31,34,0,,,
newsprint_026_l008,newsprint,newsprint_026.png,newsprint_026_l008,1.63,17,0,,,
