line_id,stratum,source_page,pool_line_id,skew_deg,height_px,inverted,device,dpi,notes
newsprint_057_l005,newsprint,newsprint_057.png,newsprint_057_l005,0.80,19,0,,,
newsprint_045_l004,newsprint,newsprint_045.png,newsprint_045_l004,1.40,28,0,,,
newsprint_043_l001,newsprint,newsprint_043.png,newsprint_043_l001,1.40,27,0,,,
newsprint_051_l008,newsprint,newsprint_051.png,newsprint_051_l008,0.00,18,0,,,
newsprint_025_l009,newsprint,newsprint_025.png,newsprint_025_l009,-0.50,13,0,,,
newsprint_032_l004,newsprint,newsprint_032.png,newsprint_032_l004,0.00,12,0,,,
newsprint_069_l010,newsprint,newsprint_069.png,newsprint_069_l010,0.00,18,0,,,
newsprint_012_l007,newsprint,newsprint_012.png,newsprint_012_l007,0.00,19,0,,,
newsprint_067_l019,newsprint,newsprint_067.png,newsprint_067_l019,0.00,18,0,,,
newsprint_042_l003,newsprint,newsprint_042.png,newsprint_042_l003,1.40,25,0,,,
newsprint_076_l004,newsprint,newsprint_076.png,newsprint_076_l004,0.00,20,0,,,
newsprint_009_l002,newsprint,newsprint_009.png,newsprint_009_l002,-1.00,21,0,,,
newsprint_038_l005,newsprint,newsprint_038.png,newsprint_038_l005,0.70,12,0,,,
newsprint_030_l005,newsprint,newsprint_030.png,newsprint_030_l005,0.00,16,0,,,
newsprint_002_l005,newsprint,newsprint_002.png,newsprint_002_l005,-1.40,23,0,,,
newsprint_015_l004,newsprint,newsprint_015.png,newsprint_015_l004,0.00,17,0,,,
newsprint_053_l003,newsprint,newsprint_053.png,newsprint_053_l003,0.30,19,0,,,
newsprint_060_l004,newsprint,newsprint_060.png,newsprint_060_l004,0.00,16,0,,,
newsprint_064_l004,newsprint,newsprint_064.png,newsprint_064_l004,0.00,14,0,,,
newsprint_019_l008,newsprint,newsprint_019.png,newsprint_019_l008,0.00,15,0,,,
newsprint_048_l002,newsprint,newsprint_048.png,newsprint_048_l002,-0.60,27,0,,,
newsprint_003_l012,newsprint,newsprint_003.png,newsprint_003_l012,-0.40,29,0,,,
newsprint_079_l006,newsprint,newsprint_079.png,newsprint_079_l006,0.00,17,0,,,
newsprint_075_l016,newsprint,newsprint_075.png,newsprint_075_l016,0.60,19,0,,,
newsprint_024_l012,newsprint,newsprint_024.png,newsprint_024_l012,2.30,12,0,,,
newsprint_008_l005,newsprint,newsprint_008.png,newsprint_008_l005,0.90,20,0,,,
newsprint_011_l002,newsprint,newsprint_011.png,newsprint_011_l002,0.00,18,0,,,
newsprint_061_l010,newsprint,newsprint_061.png,newsprint_061_l010,0.00,17,0,,,
newsprint_027_l009,newsprint,newsprint_027.png,newsprint_027_l009,1.70,17,0,,,
newsprint_016_l009,newsprint,newsprint_016.png,newsprint_016_l009,-0.20,15,0,,,
newsprint_056_l015,newsprint,newsprint_056.png,newsprint_056_l015,-0.60,21,0,,,
newsprint_072_l002,newsprint,newsprint_072.png,newsprint_072_l002,-1.10,19,0,,,
newsprint_026_l008,newsprint,newsprint_026.png,newsprint_026_l008,1.60,17,0,,,
newsprint_078_l008,newsprint,newsprint_078.png,newsprint_078_l008,0.00,16,0,,,
newsprint_001_l006,newsprint,newsprint_001.png,newsprint_001_l006,-2.50,28,0,,,
newsprint_004_l005,newsprint,newsprint_004.png,newsprint_004_l005,-0.40,19,0,,,
newsprint_017_l001,newsprint,newsprint_017.png,newsprint_017_l001,0.00,13,0,,,
newsprint_077_l015,newsprint,newsprint_077.png,newsprint_077_l015,0.90,20,0,,,
newsprint_029_l014,newsprint,newsprint_029.png,newsprint_029_l014,0.00,9,0,,,
newsprint_080_l003,newsprint,newsprint_080.png,newsprint_080_l003,0.20,14,0,,,
newsprint_049_l001,newsprint,newsprint_049.png,newsprint_049_l001,-0.60,39,0,,,
newsprint_014_l014,newsprint,newsprint_014.png,newsprint_014_l014,-0.30,22,0,,,
newsprint_041_l010,newsprint,newsprint_041.png,newsprint_041_l010,0.50,12,0,,,
newsprint_040_l006,newsprint,newsprint_040.png,newsprint_040_l006,-0.90,13,0,,,
newsprint_021_l011,newsprint,newsprint_021.png,newsprint_021_l011,0.30,15,0,,,
newsprint_070_l012,newsprint,newsprint_070.png,newsprint_070_l012,-0.20,16,0,,,
newsprint_023_l003,newsprint,newsprint_023.png,newsprint_023_l003,0.00,15,0,,,
newsprint_055_l012,newsprint,newsprint_055.png,newsprint_055_l012,-0.20,23,0,,,
newsprint_036_l014,newsprint,newsprint_036.png,newsprint_036_l014,1.90,14,0,,,
newsprint_031_l004,newsprint,newsprint_031.png,newsprint_031_l004,0.00,12,0,,,
newsprint_022_l002,newsprint,newsprint_022.png,newsprint_022_l002,0.00,20,0,,,
newsprint_044_l001,newsprint,newsprint_044.png,newsprint_044_l001,1.40,27,0,,,
newsprint_005_l005,newsprint,newsprint_005.png,newsprint_005_l005,-0.20,20,0,,,
newsprint_047_l003,newsprint,newsprint_047.png,newsprint_047_l003,1.40,28,0,,,
newsprint_007_l018,newsprint,newsprint_007.png,newsprint_007_l018,0.60,20,0,,,
newsprint_020_l002,newsprint,newsprint_020.png,newsprint_020_l002,0.00,16,0,,,
newsprint_010_l002,newsprint,newsprint_010.png,newsprint_010_l002,0.00,20,0,,,
newsprint_058_l009,newsprint,newsprint_058.png,newsprint_058_l009,0.50,20,0,,,
newsprint_073_l009,newsprint,newsprint_073.png,newsprint_073_l009,-1.40,19,0,,,
newsprint_074_l003,newsprint,newsprint_074.png,newsprint_074_l003,0.00,16,0,,,
newsprint_071_l002,newsprint,newsprint_071.png,newsprint_071_l002,-0.90,19,0,,,
newsprint_035_l002,newsprint,newsprint_035.png,newsprint_035_l002,1.50,14,0,,,
newsprint_059_l001,newsprint,newsprint_059.png,newsprint_059_l001,0.30,16,0,,,
newsprint_033_l004,newsprint,newsprint_033.png,newsprint_033_l004,0.00,12,0,,,
newsprint_013_l001,newsprint,newsprint_013.png,newsprint_013_l001,0.00,20,0,,,
newsprint_068_l009,newsprint,newsprint_068.png,newsprint_068_l009,0.00,18,0,,,
newsprint_037_l009,newsprint,newsprint_037.png,newsprint_037_l009,0.90,14,0,,,
newsprint_018_l006,newsprint,newsprint_018.png,newsprint_018_l006,0.00,18,0,,,
newsprint_065_l020,newsprint,newsprint_065.png,newsprint_065_l020,0.00,18,0,,,
newsprint_028_l005,newsprint,newsprint_028.png,newsprint_028_l005,0.00,13,0,,,
newsprint_046_l005,newsprint,newsprint_046.png,newsprint_046_l005,1.40,28,0,,,
newsprint_062_l001,newsprint,newsprint_062.png,newsprint_062_l001,-0.20,29,0,,,
newsprint_039_l004,newsprint,newsprint_039.png,newsprint_039_l004,0.40,13,0,,,
newsprint_052_l011,newsprint,newsprint_052.png,newsprint_052_l011,0.20,18,0,,,
newsprint_063_l008,newsprint,newsprint_063.png,newsprint_063_l008,-0.30,16,0,,,
newsprint_066_l019,newsprint,newsprint_066.png,newsprint_066_l019,-0.40,17,0,,,
newsprint_034_l001,newsprint,newsprint_034.png,newsprint_034_l001,1.80,15,0,,,
newsprint_006_l017,newsprint,newsprint_006.png,newsprint_006_l017,0.70,16,0,,,
