தமிழ்நாடு பத்திரிகையாளர்கள் சங்கம் வாழ்த்துக்களை தெரிவித்துக்கொள்கிறது. சாதி, மதம்,இனவெறியை தமிழகத்திலிருந்து அகற்ற, விவசாயிகள், தொழிலாளர்கள்,அனைத்து பகுதி
கான நடவடிக்கைகள்)” என்று தலைப்பிட்டு புதிய வரைவு விதிகளை அறிவித்திருக்கிறது. இது, நாட்டில் உள்ள அனைத்து
உயர்கல்வி நிறுவனங்களையும் தங்கள் கட்டுப்பாட்டிற்குள் கொண்டுவருவதற்காக ஒன்றிய அரசு மேற்கொண்டுள்ள மற்றுமொரு முயற்சியாகும். பல்கலைக்கழகங்களின் நிலவரம்பல்கலைக்
நடவடிக்கைகள் பரிந்துரைக்கப்படும் என்பதாகும். வரைவின்படி, அத்தகைய நிறுவனங்கள்: பல்கலைக்கழக மானியக் குழுவின் திட்டங்களில் பங்கேற்பதிலிருந்தும் பட்டப்படிப்புகளை
இருந்திடும் ஆளுநர்/வேந்தரிடம் கொடுக்கப்பட்டிருக்கிறது. அரசியல் நோக்கங்களுக்கான முயற்சிஇது, ஆளுநர் நியமனங்களை மத்தியத்து வப்படுத்துவதோடு மட்டுமல்லாமல், பல்கலைக்
முதலமைச்சர் உத்தரவிட்டுள்ளதாகவும், அதற்காக முதலமைச்சருக்கு நன்றியை தெரிவித்துக் கொள்வதாகவும் குறிப்பிட்டார். ஒருங்கிணைந்த ஓய்வூதிய திட்டத்தை அமல்படுத்த
பெண்கள் அணிதிரட்டப்படாத உழைப்பாளர்களாக மாற்றப்பட்டுள்ளனர். வேலை வாய்ப்பு சந்தையில் உள்ள தொழிலாளர்களுக்கு உற்பத்தி சார்ந்த வேலைவாய்ப்புகள்
உருவாக்கப்படவில்லை. இத்துடன் வேலைவாய்ப்பு சந்தைக்கு தேடி வரக்கூடிய கோடிக்கணக்கான இளம் தலைமுறை யினருக்கு போதுமான வேலை
வாய்ப்புகளை உரு வாக்குவதற்கான எவ்விதமான திட்டமும் அரசிடம் இல்லை. ஊதியம் இல்லாத உதவியாளர்கள்குடும்ப நிறுவனத்தில் செய்யக்கூடிய
குறைப்பு; உணவுப் பொருட்களுக்கு வரிவிதிப்புபொருளாதார சமத்துவமின்மையை மேலும் தீவிரப்படுத்தும் முறையில் வரிக்கொள்கையை வடி வமைக்கிறார்கள். ஆண்டுக்கு
2 லட்சம் கோடி அளவுக்கு சலுகை அளித்து, கார்ப்பரேட் வரியை 30 சத விகிதத்திலிருந்து 22
சதவிகிதமாகக் குறைத்தி ருக்கிறார்கள். அதே சமயம் முன்னெப்போதும் இல்லாத வகையில் அரிசி, கோதுமை உள்ளிட்டு ஏழைகள்
பயன்படுத்தும் ஒவ்வொரு உணவுப்பொ ருளின் மீதும் அநியாய வரியை விதித்திருக்கிறார்கள். கிராமப்புற மக்களின் வருவாயில் உணவுப்பொருள்
பணவீக்கத்தின் காரணமாக அவர்களின் மாதாந்திரச் செலவில் 50 சதவிகிதம் உணவுப் பொருட்களுக்கே செலவழிக்க நிர்ப்பந்திக்கப்பட்டுள்ளனர். நகர்ப்
புறங்களில் இது 40 சதவிகிதத்தை தொட்டு நிற்கிறது. இதனால் வயிற்றை நிரப்பக் கூட மக்கள் திண்டா
டும் நிலைக்கு தள்ளப்பட்டிருக்கிறார்கள். சர்வதேசச் சந்தையில் கச்சாஎண்ணெய் விலை குறைந்தால் பெட்ரோல் - டீசல் விலை
குறையும் என்று சொல்லிவிட்டு கச்சா எண்ணெய் விலை 18 டாலர் குறைந்த பிறகும் சல்லிக்காசு கூட
குறைக்காமல் சண்டித்தனம் செய்து வருகிறார்கள். சமையல் எரிவாயு உருளைக்கு மானியத்தை வங்கியில் தரு வோம் என்று
ஆசைகாட்டி விட்டு மூன்று மடங்காக விலையை உயர்த்தி விட்டு மானியம் தராமல் ஏழைகள் வயிற்றில் அடித்துக்
கொண்டிருக்கிறது ஒன்றிய பாஜக அரசு. வேலைவாய்ப்பு ஒழிப்பு விவசாயம் சீரழிப்புஆண்டுக்கு இரண்டு கோடிப் பேருக்கு வேலை
என்ற ஆசை வார்த்தை காட்டி ஆட்சிக்கு வந்த பாஜக அரசு 10 ஆண்டு காலம் முழுமைக்கும்
கூட 2 கோடிப் பேருக்கு வேலைவாய்ப்புகளை வழங்கவில்லை. மாறாக, ஒன்றிய அரசுத் துறைகளில் 10 லட்சம்
வேலை வாய்ப்புகளும், பொதுத் துறைகளில் அதே அள வுக்கான வேலை வாய்ப்புகளும் வெட்டிச் சுருக்கப் பட்டுள்ளன.
ரயில்வே துறையில் மட்டும் அனுமதிக்கப் பட்ட 14 லட்சம் பணியிடங்களில் 3 லட்சம் பணி யிடங்கள்
காலியாக உள்ளன. நிரப்பப்பட்ட பணியி டங்கள் பலவும் ஒப்பந்தம், தினக்கூலி, வெளிமுகமை என பாதுகாப்பற்ற வேலைகளாகவும்,
சம்பளம் குறைந்த வேலைகளாகவும் மாற்றப்பட்டுள்ளன. விவசாயத்தை சீரழிக்கும் வகையில் கொண்டு வரப்பட்ட மூன்று வேளாண் சட்டங்களை
விவசாயி களின் 385 நாள் போராட்டத்தால் ஒன்றிய அரசு கைவிட்டது. ஆனால், நிர்வாக நடவடிக்கைகளின் மூலமாக
விவசாயத்தில் விவசாயிகளின் வருமா னத்தையும் உரிமைகளையும் நாட்டின் நலனையும் பாதிக்கும் நடவடிக்கையில் ஈடுபடுகிறார்கள். விவசாய விளை
பொருட்களுக்கு ஒன்றரை மடங்கு விலை, 2022க்குள் விவசாயிகளின் வருமானம் இரட்டிப் பாக்குதல் என்று வாய்ச்சவடால் அடித்துக்
கொண்டே விவசாயிகளின் வயிற்றில் அடித்துக் கொண்டிருக்கிறார்கள். அதேசமயம் விதை, உரம், விவசாய இயந்திரங்கள் உள்ளிட்ட இடுபொருட்களின்
விலை தாறுமாறாக உயர்ந்திருக்கிறது. தினம் 30 விவசாயிகள் தற்கொலைபாஜக அரசு பதவியேற்ற நாளிலிருந்து கடந்த 10
ஆண்டுகளில் நாள்தோறும் 30 விவசாயிகள் சராசரி யாக தற்கொலை செய்து கொண்டிருக்கிறார்கள். விவசாயத்தை நம்பி வாழ்க்கையை
நடத்தும் விவசாயக் கூலித் தொழிலாளர்கள் விவசாய வேலைகள் கிடைக்காமலும் வேறு வழியில்லாமலும் இடம் பெயர்கிறார்கள். விவசாயக்
கூலிகளின் குறைந்தபட்ச வாழ்வாதாரத்தை உத்தரவாதப்படுத்துவதற்காக இடதுசாரிகளின் வலியுறுத்தலால் ஐக்கிய முற்போக்கு கூட்டணி- 1 ஆட்சிக்காலத்தில் கொண்டு
வரப்பட்ட கிராமப்புற வேலை உறுதியளிப்புச் சட்டம் சீர் குலைக்கப்படுகிறது. ஊதியத்திற்கான பங்கு குறைக் கப்பட்டு பொருட்களின்
பங்கு அதிகரிக்கப்படுகிறது. உரிய காலத்தில் நிதியை கொடுப்பதில்லை. எல்லா வற்றிற்கும் மேலாக பண வீக்கத்திற்கு தகுந்தவாறு
கூட ஒதுக்கீடுகள் இல்லாத நிலை இருக்கிறது. கூட்டாட்சி சிதைப்புஇந்திய அரசமைப்புச் சட்டத்தின் பிரிக்க முடியாத அம்சமான
கூட்டாட்சி ஒவ்வொரு கணமும் சிதைக்கப்படுகிறது. ஒரே நாடு ஒரே தேர்தல், ஒரே கல்வி உள்ளிட்டு இந்தியாவின்
பன்முகத்தன்மையை சீரழிக்கும் முயற்சிகள் மேற்கொள்ளப்படுகின்றன. வரிப்பங்கீட்டில் மாநிலங்களின் உரிமைகள் மறுக்கப்படுகின்றன. நிதிக் குழுக்களுக்கு புதிய நிபந்தனைகளை
